Cherry,166,230,48C51092,0,1,1,4294967295,0,1
Cherry,176,368,4E8F58D0,0,1,1,4294967295,0,1
EvilSprite,520,185,8DDB988F,0,5.75,1.71875,4294967295,0,1
SpikeU,-160,224,7C696B8A,0,1,1,4294967295,0,0
SpikeR,-160,192,5ED9DD22,0,1,1,4294967295,0,0
SpikeD,-128,192,EF08C2C3,0,1,1,4294967295,0,0
SpikeL,-128,224,BD5904FA,0,1,1,4294967295,0,0
MiniSpikeDown,-80,192,9CBABCB1,0,1,1,4294967295,0,0
MiniSpikeRight,-96,192,5F580E04,0,1,1,4294967295,0,0
MiniSpikeLeft,-80,208,36076CB9,0,1,1,4294967295,0,0
MiniSpikeUp,-96,208,91F10E8A,0,1,1,4294967295,0,0
MiniSpikeLeft,240,272,7EEF1A12,0,1,1,4294967295,0,0
SpikeL,256,192,F526C8B6,0,1,1,4294967295,0,1
SpikeU,759,290,FF92ECF6,0,0.8169872981078,2.4150635094611,4294967295,330,0
SpikeD,720,225,1A7ED32A,0,0.6470476127563,2.4148145657227,4294967295,345,0
SpikeD,720,368,9A354EC4,0,0.6339745962156,3.0980762113533,4294967295,240,0
SpikeD,592,240,FD0F81AA,0,1,2,4294967295,15,0
SpikeD,624,240,44F88BAA,0,2.5,0.5,4294967295,0,0
MiniSpikeUp,256,160,EDCB99E8,0,1,2,4294967295,0,0
SpikeU,336,144,8D4F9265,0,1,1,4294967295,0,0
SpikeU,320,320,56F8D93B,0,1,1,4294967295,0,0
SpikeU,624,352,3D47C86A,0,2.5,1,4294967295,0,1
SpikeR,512,352,35487903,0,1,1,4294967295,0,0
MiniSpikeUp,496,336,01070650,0,1,1,4294967295,0,0
SpikeU,464,336,2B450108,0,1,1,4294967295,15,0
SpikeD,1280,320,DCF027E0,0,1,3,4294967295,0,1
SpikeU,1696,544,7CE9D4BD,0,2,2,4294967295,0,1
SpikeU,2016,544,92931E72,0,2,2,4294967295,0,1
SpikeU,1312,544,DBCBECD6,0,2,2,4294967295,0,1
SpikeU,1376,544,312DAF3A,0,2,2,4294967295,0,1
SpikeU,1440,544,6F7F13FD,0,2,2,4294967295,0,1
SpikeU,1504,544,38677DD7,0,2,2,4294967295,0,1
SpikeU,1568,544,315FE335,0,2,2,4294967295,0,1
SpikeU,1632,544,54004CB2,0,2,2,4294967295,0,1
SpikeU,1760,544,7D4DD8C7,0,2,2,4294967295,0,1
SpikeU,1824,544,2F2358E6,0,2,2,4294967295,0,1
SpikeU,1888,544,7653C379,0,2,2,4294967295,0,1
SpikeU,1952,544,EBC47F14,0,2,2,4294967295,0,1
SpikeU,2080,544,E8130DF2,0,2,2,4294967295,0,1
Warp,1654,572,43AFAC84,0,0.71875,0.75,4294967295,0,1
Cherry,497,287,D4F39BC3,0,0.5,0.5,4294967295,0,1
Block,0,352,E0D04359,0,16,3,4294967295,0,0
Block,256,176,12304310,0,20,2,4294967295,0,0
Block,-32,0,FFB96073,0,1,14,4294967295,0,0
Block,864,288,B58F8BCF,0,2,5,4294967295,0,0
Block,928,288,DBCBF5C8,0,11,4,4294967295,0,0
Block,256,240,17D1956F,0,2,3.5,4294967295,0,0
Block,0,448,1B615FA6,0,1,5,4294967295,0,0
Block,32,576,A261C6E3,0,39,1,4294967295,0,0
Block,1248,512,07AD19B0,0,1,2,4294967295,0,0
Block,1280,0,9A907EFC,0,1,13,4294967295,0,0
Block,1280,512,C6940A68,0,1,3,4294967295,0,0
Block,1312,512,03BCD804,0,10,1,4294967295,0,0
Block,229,288,3F713FAD,0,0.6875,2,4294967295,0,0
Block,2144,0,2D46B69D,0,1,21,4294967295,0,0
Block,2176,672,7FE7013E,0,1,1,4294967295,0,0
Block,701,352,9A91F659,0,5.09375,3,4294967295,0,0
Block,497,241,33D689EC,0,0.09375,1.3125,4294967295,0,0
KillBlock,32,560,DD2CDA7E,0,38,0.5,4294967295,0,0
Block,128,448,55678B27,0,0.5,1,4294967295,0,0
Block,1696,512,A283EE7C,0,14,1,4294967295,0,0
MusicPlayer,32,16,003C2ED2,0,1,1,4294967295,0,1
SavePointMedium,-192,224,168ED2C1,0,1,1,4294967295,0,0
Cherry,-80,240,19FF70DC,0,1,1,4294967295,0,0
BulletBlock,-192,192,45D5B31A,0,1,1,4294967295,0,0
Cherry,210,192,7102B156,0,-1,1,4294967295,0,0
Cherry,176,144,E57EC554,0,1,1,4294967295,0,1
